Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
parkinson disease,difficulty speaking,problems with movement,leg stiffness or tightness,stiffness all over,dizziness,abnormal involuntary movements,focal weakness,disturbance of memory,weakness,,,
gout,hand or finger pain,knee pain,foot or toe pain,knee swelling,foot or toe swelling,joint pain,wrist pain,ankle pain,leg swelling,too little hair,hand or finger swelling,wrist swelling
otitis media,sore throat,diminished hearing,vomiting,ear pain,plugged feeling in ear,fever,cough,coryza,pulling at ears,nasal congestion,fluid in ear,
drug abuse (opioids),anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,drug abuse,restlessness,excessive anger,temper problems,delusions or hallucinations,abusing alcohol,,
myelodysplastic syndrome,difficulty speaking,fatigue,chills,,,,,,,,,
fracture of the shoulder,arm pain,arm stiffness or tightness,neck swelling,shoulder swelling,shoulder stiffness or tightness,shoulder pain,bones are painful,,,,,
acute kidney injury,shortness of breath,dizziness,retention of urine,sharp abdominal pain,peripheral edema,weakness,symptoms of the kidneys,vomiting,nausea,kidney mass,sharp chest pain,
threatened pregnancy,sharp abdominal pain,back pain,problems during pregnancy,uterine contractions,vaginal discharge,pelvic pain,spotting or bleeding during pregnancy,cramps and spasms,blood clots during menstrual periods,intermenstrual bleeding,lower abdominal pain,
intracranial abscess,depressive or psychotic symptoms,headache,seizures,,,,,,,,,
gum disease,toothache,facial pain,mouth ulcer,ear pain,jaw swelling,lip swelling,fever,peripheral edema,polyuria,cloudy eye,gum pain,
open wound from surgical incision,skin swelling,flatulence,skin lesion,,,,,,,,,
gastrointestinal hemorrhage,dizziness,blood in stool,fainting,vomiting,nausea,diarrhea,vomiting blood,changes in stool appearance,rectal bleeding,sharp abdominal pain,melena,weakness
seborrheic dermatitis,acne or pimples,irregular appearing scalp,symptoms of the face,symptoms of bladder,hurts to breath,foot or toe cramps or spasms,abnormal appearing skin,skin lesion,skin growth,hip swelling,mass or swelling around the anus,
drug abuse (methamphetamine),anxiety and nervousness,shortness of breath,palpitations,abusing alcohol,hostile behavior,feeling ill,depressive or psychotic symptoms,drug abuse,,,,
torticollis,throat swelling,arm pain,neck pain,neck stiffness or tightness,shoulder pain,headache,abnormal involuntary movements,discharge in stools,,,,
poisoning due to antihypertensives,depressive or psychotic symptoms,sharp abdominal pain,weakness,,,,,,,,,
tension headache,anxiety and nervousness,dizziness,back cramps or spasms,nausea,neck stiffness or tightness,chills,headache,neck pain,,,,
alcohol intoxication,sharp chest pain,abnormal involuntary movements,abusing alcohol,problems with movement,anxiety and nervousness,depression,depressive or psychotic symptoms,vomiting,,,,
scurvy,sharp abdominal pain,knee lump or mass,,,,,,,,,,
narcolepsy,shortness of breath,insomnia,headache,disturbance of memory,fatigue,apnea,sleepiness,,,,,
food allergy,cough,lip swelling,abnormal appearing skin,allergic reaction,symptoms of bladder,foot or toe cramps or spasms,nasal congestion,hand or finger swelling,vomiting,,,
labyrinthitis,vomiting,headache,ear pain,plugged feeling in ear,spots or clouds in vision,infertility,dizziness,nausea,diminished hearing,loss of sensation,,
anxiety,anxiety and nervousness,depression,shortness of breath,abnormal involuntary movements,increased heart rate,sharp chest pain,insomnia,palpitations,irregular heartbeat,fears and phobias,headache,depressive or psychotic symptoms
impulse control disorder,depressive or psychotic symptoms,excessive appetite,delusions or hallucinations,temper problems,depression,insomnia,anxiety and nervousness,excessive anger,,,,
stenosis of the tear duct,white discharge from eye,symptoms of eye,abnormal movement of eyelid,cough,lacrimation,,,,,,,
abscess of nose,sore throat,vomiting,fever,sinus congestion,cough,nasal congestion,irritable infant,coryza,,,,
omphalitis,emotional symptoms,flatulence,hand or finger weakness,,,,,,,,,
leukemia,fever,muscle stiffness or tightness,fatigue,irregular belly button,,,,,,,,
bell palsy,abnormal involuntary movements,diminished vision,symptoms of eye,loss of sensation,focal weakness,symptoms of the face,headache,facial pain,weakness,peripheral edema,,
conjunctivitis due to allergy,cough,nasal congestion,diminished vision,pain in eye,eye redness,lacrimation,itchiness of eye,eye burns or stings,symptoms of eye,allergic reaction,sweating,pupils unequal
drug reaction,shortness of breath,throat swelling,vomiting,nausea,peripheral edema,symptoms of bladder,headache,allergic reaction,foot or toe cramps or spasms,dizziness,abnormal appearing skin,
adrenal cancer,dizziness,diminished hearing,,,,,,,,,,
myopia,pain in eye,eye moves abnormally,foreign body sensation in eye,blindness,symptoms of eye,eye redness,eye deviation,diminished vision,spots or clouds in vision,,,
osteoarthritis,leg pain,hip pain,back pain,knee weakness,elbow pain,knee swelling,hand or finger pain,knee pain,muscle pain,ankle pain,joint pain,
thyroid disease,lump in throat,throat feels tight,neck mass,difficulty in swallowing,,,,,,,,
pharyngitis,hoarse voice,cough,wheezing,fever,sore throat,,,,,,,
chronic rheumatic fever,shortness of breath,chest tightness,throat feels tight,increased heart rate,dizziness,palpitations,sharp chest pain,,,,,
hypocalcemia,shortness of breath,sharp chest pain,constipation,skin oiliness,abnormal involuntary movements,,,,,,,
macular degeneration,diminished vision,double vision,abnormal movement of eyelid,itchiness of eye,blindness,bleeding from eye,foreign body sensation in eye,spots or clouds in vision,symptoms of eye,pain in eye,lacrimation,
pneumonia,shortness of breath,sharp chest pain,sore throat,nasal congestion,vomiting,wheezing,weakness,cough,difficulty breathing,chills,coryza,fever
cold sore,sore throat,skin swelling,vaginal itching,mouth ulcer,foot or toe cramps or spasms,throat irritation,lip swelling,,,,,
premature ventricular contractions (pvcs),shortness of breath,sharp chest pain,chest tightness,palpitations,irregular heartbeat,impotence,sleepiness,fainting,,,,
testicular cancer,anxiety and nervousness,diminished hearing,mass in scrotum,,,,,,,,,
hydrocephalus,depressive or psychotic symptoms,abnormal involuntary movements,headache,problems with movement,lack of growth,seizures,vomiting,,,,,
breast cancer,pain or soreness of breast,nightmares,hot flashes,bleeding or discharge from nipple,,,,,,,,
anemia due to malignancy,shortness of breath,difficulty in swallowing,flatulence,fatigue,,,,,,,,
esophageal varices,dizziness,nausea,,,,,,,,,,
endometrial cancer,hot flashes,intermenstrual bleeding,absence of menstruation,bleeding gums,vaginal itching,,,,,,,
cystic fibrosis,cough,feeling ill,intermenstrual bleeding,decreased appetite,,,,,,,,
intertrigo (skin condition),skin swelling,skin lesion,acne or pimples,foot or toe cramps or spasms,abnormal appearing skin,hurts to breath,,,,,,
parathyroid adenoma,anxiety and nervousness,throat feels tight,disturbance of memory,shoulder pain,,,,,,,,
glucocorticoid deficiency,shortness of breath,lack of growth,diarrhea,,,,,,,,,
temporomandibular joint disorder,nasal congestion,diminished hearing,facial pain,pain in eye,neck pain,sore throat,ear pain,headache,,,,
wilson disease,insomnia,cough,sleepiness,,,,,,,,,
vesicoureteral reflux,suprapubic pain,involuntary urination,blood in urine,fever,,,,,,,,
vitamin a deficiency,hand or finger pain,knee lump or mass,,,,,,,,,,
gonorrhea,sharp abdominal pain,vaginal discharge,problems with movement,vaginal pain,posture problems,vaginal itching,,,,,,
fracture of the rib,hip pain,back pain,bones are painful,side pain,shoulder pain,ache all over,or spasms",sharp chest pain,rib pain,irregular appearing nails,shortness of breath,
ependymoma,headache,pain in eye,emotional symptoms,diminished vision,,,,,,,,
hepatitis due to a toxin,jaundice,vomiting,nausea,rectal bleeding,depression,sharp abdominal pain,feeling ill,symptoms of bladder,,,,
vaginal cyst,sharp abdominal pain,lower abdominal pain,vaginal discharge,pain during pregnancy,pelvic pain,vaginal pain,intermenstrual bleeding,problems during pregnancy,spotting or bleeding during pregnancy,blood clots during menstrual periods,nosebleed,cramps and spasms
open wound of the shoulder,abusing alcohol,shoulder pain,arm pain,,,,,,,,,
ectopic pregnancy,sharp abdominal pain,vaginal discharge,pain during pregnancy,dizziness,lower abdominal pain,intermenstrual bleeding,pelvic pain,nausea,,,,
chronic knee pain,leg pain,back pain,hip pain,knee weakness,knee stiffness or tightness,leg swelling,knee pain,knee swelling,joint pain,,,
pinguecula,headache,lump or mass of breast,symptoms of eye,lacrimation,,,,,,,,
hypergammaglobulinemia,blood in stool,fatigue,,,,,,,,,,
alcohol abuse,depression,hostile behavior,vomiting blood,smoking problems,abusing alcohol,elbow stiffness or tightness,anxiety and nervousness,depressive or psychotic symptoms,drug abuse,,,
carpal tunnel syndrome,hand or finger pain,wrist pain,hand or finger stiffness or tightness,elbow pain,swollen tongue,hand or finger swelling,arm pain,wrist swelling,paresthesia,loss of sensation,neck pain,
pituitary disorder,lack of growth,hot flashes,pain in eye,headache,,,,,,,,
kidney stone,suprapubic pain,frequent urination,lower abdominal pain,blood in urine,back pain,side pain,retention of urine,sharp abdominal pain,vomiting,low back pain,painful urination,
autism,depressive or psychotic symptoms,difficulty speaking,hostile behavior,constipation,disturbance of smell or taste,lack of growth,back mass or lump,temper problems,seizures,,,
cat scratch disease,skin swelling,groin mass,itchy eyelid,,,,,,,,,
chronic glaucoma,white discharge from eye,diminished vision,symptoms of eye,lacrimation,itchiness of eye,frequent menstruation,pain in eye,spots or clouds in vision,eye burns or stings,foreign body sensation in eye,,
retinal detachment,double vision,pain in eye,spots or clouds in vision,lacrimation,itchiness of eye,symptoms of eye,blindness,diminished vision,,,,
aplastic anemia,lack of growth,weakness,slurring words,fatigue,nausea,fever,,,,,,
overflow incontinence,retention of urine,hand or finger stiffness or tightness,impotence,eyelid lesion or rash,suprapubic pain,blood in urine,involuntary urination,,,,,
hemolytic anemia,nausea,skin growth,fatigue,cough,,,,,,,,
lateral epicondylitis (tennis elbow),hand or finger pain,wrist pain,arm pain,elbow pain,joint pain,loss of sensation,shoulder pain,hand or finger stiffness or tightness,,,,
open wound of the eye,white discharge from eye,symptoms of eye,pain in eye,spots or clouds in vision,diminished vision,,,,,,,
syphilis,headache,vaginal discharge,muscle pain,foot or toe cramps or spasms,,,,,,,,
diabetic kidney disease,blood in stool,impotence,,,,,,,,,,
nose disorder,cough,ear pain,difficulty breathing,coryza,sinus congestion,painful sinuses,nasal congestion,headache,facial pain,fever,low back cramps or spasms,sore throat
drug withdrawal,anxiety and nervousness,depression,dizziness,vomiting,nausea,chills,sharp abdominal pain,,,,,
dental caries,toothache,facial pain,peripheral edema,jaw swelling,gum pain,"skin dryness,cloudy eye,skin swelling,restlessness,ear pain,irregular belly button,neck swelling
hypercholesterolemia,palpitations,hand or finger stiffness or tightness,weight gain,sharp chest pain,excessive urination at night,,,,,,,
fracture of the patella,leg pain,hip pain,bones are painful,skin oiliness,knee pain,knee swelling,,,,,,
kidney failure,shortness of breath,sharp chest pain,nausea,arm swelling,leg swelling,swollen abdomen,symptoms of the kidneys,vomiting,,,,
fracture of the neck,leg pain,hip pain,elbow pain,lower body pain,low back pain,,,,,,,
muscle spasm,sharp chest pain,abnormal involuntary movements,leg pain,headache,neck pain,low back pain,back pain,"muscle cramps,arm pain,loss of sensation,,
hemophilia,cough,polyuria,leg pain,frontal headache,,,,,,,,
hyperosmotic hyperketotic state,cough,weakness,frequent urination,,,,,,,,,
peritonsillar abscess,throat swelling,throat feels tight,difficulty in swallowing,headache,ear pain,swollen lymph nodes,sore throat,,,,,
gastroparesis,sharp abdominal pain,nausea,burning abdominal pain,upper abdominal pain,sharp chest pain,regurgitation,regurgitation.1,vomiting,,,,
itching of unknown cause,vaginal itching,abnormal appearing skin,allergic reaction,fluid retention,hurts to breath,peeling,foot or toe cramps or spasms,problems during pregnancy,symptoms of bladder,,,
polycythemia vera,dizziness,headache,symptoms of eye,weight gain,fatigue,,,,,,,
thrombocytopenia,irregular appearing scalp,fatigue,polyuria,sharp chest pain,blood in stool,blood in urine,low back cramps or spasms,,,,,
head and neck cancer,throat feels tight,difficulty in swallowing,neck mass,hemoptysis,sore throat,plugged feeling in ear,hoarse voice,irregular belly button,,,,
pseudohypoparathyroidism,leg pain,elbow weakness,wrist pain,knee pain,,,,,,,,
goiter,lump in throat,difficulty in swallowing,hot flashes,weight gain,fatigue,,,,,,,
urge incontinence,retention of urine,vaginal itching,painful urination,involuntary urination,frequent urination,excessive urination at night,constipation,blood in urine,eyelid lesion or rash,,,
edward syndrome,suprapubic pain,cross-eyed,,,,,,,,,,
open wound of the arm,arm pain,knee weakness,elbow pain,elbow lump or mass,,,,,,,,
muscular dystrophy,cough,nasal congestion,hip pain,feeling cold,fatigue,,,,,,,
mittelschmerz,diarrhea,lower abdominal pain,pelvic pain,sharp abdominal pain,vomiting,heavy menstrual flow,,,,,,
corneal abrasion,diminished vision,pain in eye,foreign body sensation in eye,lacrimation,mass on eyelid,symptoms of eye,eye redness,itchiness of eye,white discharge from eye,,,
anemia of chronic disease,dizziness,emotional symptoms,feeling ill,weakness,,,,,,,,
dysthymic disorder,anxiety and nervousness,insomnia,excessive anger,slurring words,disturbance of memory,temper problems,arm weakness,depression,depressive or psychotic symptoms,,,
scarlet fever,sore throat,throat swelling,skin swelling,fever,cough,foot or toe cramps or spasms,,,,,,
hypertensive heart disease,sharp chest pain,insomnia,chest tightness,leg swelling,heartburn,weakness,fatigue,shortness of breath,difficulty breathing,palpitations,recent pregnancy,
drug abuse (barbiturates),anxiety and nervousness,depression,hostile behavior,drug abuse,abnormal involuntary movements,delusions or hallucinations,,,,,,
polycystic ovarian syndrome (pcos),hot flashes,intermenstrual bleeding,pelvic pain,absence of menstruation,long menstrual periods,weight gain,back mass or lump,unpredictable menstruation,,,,
encephalitis,dizziness,insomnia,headache,loss of sensation,disturbance of memory,,,,,,,
cyst of the eyelid,skin growth,diminished vision,abnormal movement of eyelid,muscle swelling,frequent menstruation,,,,,,,
balanitis,suprapubic pain,painful urination,abnormal appearing skin,arm lump or mass,symptoms of bladder,mouth pain,leg weakness,foot or toe cramps or spasms,cough,,,
foreign body in the throat,sore throat,throat swelling,difficulty in swallowing,vomiting,shortness of breath,cough,infant spitting up,,,,,
drug abuse (cocaine),sharp chest pain,drug abuse,excessive anger,delusions or hallucinations,fears and phobias,abusing alcohol,hostile behavior,depression,depressive or psychotic symptoms,,,
optic neuritis,retention of urine,headache,diminished vision,blindness,,,,,,,,
alcohol withdrawal,depressive or psychotic symptoms,dizziness,abusing alcohol,fainting,seizures,sharp chest pain,abnormal involuntary movements,vomiting,delusions or hallucinations,disturbance of smell or taste,,
premature atrial contractions (pacs),dizziness,palpitations,fainting,muscle swelling,shortness of breath,irregular heartbeat,fatigue,,,,,
hemiplegia,abnormal involuntary movements,headache,problems with movement,weakness,arm stiffness or tightness,seizures,difficulty speaking,loss of sensation,slurring words,,,
hammer toe,skin growth,foot or toe pain,skin lesion,loss of sensation,,,,,,,,
open wound of the cheek,wrist pain,facial pain,,,,,,,,,,
joint effusion,wrist swelling,elbow pain,knee stiffness or tightness,too little hair,wrist pain,ankle pain,problems with movement,knee swelling,knee pain,,,
open wound of the knee,leg pain,leg swelling,,,,,,,,,,
meningioma,depressive or psychotic symptoms,dizziness,weakness,headache,disturbance of memory,,,,,,,
brain cancer,difficulty speaking,headache,weakness,focal weakness,slurring words,seizures,decreased appetite,disturbance of memory,,,,
placental abruption,emotional symptoms,nausea,spotting or bleeding during pregnancy,uterine contractions,,,,,,,,
seasonal allergies (hay fever),sore throat,headache,ear pain,frontal headache,lacrimation,coryza,pupils unequal,cough,allergic reaction,itchiness of eye,nasal congestion,
lung cancer,shortness of breath,cough,decreased appetite,fatigue,hemoptysis,skin oiliness,smoking problems,,,,,
primary kidney disease,lack of growth,peripheral edema,symptoms of the kidneys,blood in urine,impotence,,,,,,,
uterine cancer,groin mass,pelvic pain,bleeding gums,,,,,,,,,
dry eye of unknown cause,diminished vision,double vision,symptoms of eye,pain in eye,abnormal movement of eyelid,spots or clouds in vision,eye redness,lacrimation,white discharge from eye,foreign body sensation in eye,itchiness of eye,
fibrocystic breast disease,intermenstrual bleeding,pain or soreness of breast,bleeding or discharge from nipple,nightmares,,,,,,,,
fungal infection of the hair,skin swelling,abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,pelvic pain,hurts to breath,"skin dryness,acne or pimples,symptoms of bladder,peeling,foot or toe cramps or spasms
tooth abscess,skin swelling,lip swelling,toothache,facial pain,neck swelling,irregular belly button,cloudy eye,jaw swelling,peripheral edema,gum pain,,
envenomation from spider or animal bite,hand or finger swelling,arm swelling,foot or toe swelling,symptoms of bladder,skin swelling,abnormal appearing skin,paresthesia,allergic reaction,fluid retention,,,
vacterl syndrome,suprapubic pain,emotional symptoms,,,,,,,,,,
vertebrobasilar insufficiency,sharp chest pain,leg pain,back pain,dizziness,,,,,,,,
rectal disorder,blood in stool,diarrhea,pain of the anus,burning abdominal pain,cramps and spasms,melena,mass on ear,sharp abdominal pain,constipation,heartburn,rectal bleeding,
atonic bladder,retention of urine,suprapubic pain,emotional symptoms,impotence,eyelid lesion or rash,,,,,,,
benign paroxysmal positional vertical (bppv),irregular heartbeat,vomiting,headache,weakness,dizziness,fainting,problems with movement,frontal headache,nausea,,,
blepharospasm,headache,abnormal movement of eyelid,low back weakness,diminished vision,,,,,,,,
sarcoidosis,shortness of breath,sharp chest pain,chest tightness,cough,headache,pain in eye,peripheral edema,facial pain,,,,
metastatic cancer,vaginal dryness,decreased appetite,fatigue,neck mass,focal weakness,,,,,,,
trigger finger (finger disorder),hand or finger pain,hand or finger swelling,hand or finger stiffness or tightness,bones are painful,wrist pain,joint swelling,,,,,,
stye,skin swelling,abnormal appearing skin,eye redness,frequent menstruation,mass on eyelid,swollen eye,pain in eye,eye burns or stings,symptoms of eye,itchiness of eye,sweating,
hemochromatosis,difficulty speaking,ache all over,abnormal appearing skin,,,,,,,,,
osteochondroma,lower abdominal pain,skin lesion,knee pain,foot or toe pain,lip swelling,abnormal appearing skin,skin growth,,,,,
cushing syndrome,emotional symptoms,weight gain,,,,,,,,,,
typhoid fever,wrist pain,fever,,,,,,,,,,
vitreous degeneration,double vision,pain in eye,foreign body sensation in eye,eye redness,lacrimation,diminished vision,symptoms of eye,spots or clouds in vision,,,,
atrophic skin condition,lip swelling,skin lesion,acne or pimples,muscle weakness,skin swelling,skin moles,skin growth,"skin dryness,abnormal appearing skin,,,
aspergillosis,shortness of breath,knee lump or mass,,,,,,,,,,
uterine atony,sharp abdominal pain,blood in urine,pain during pregnancy,back cramps or spasms,intermenstrual bleeding,spotting or bleeding during pregnancy,uterine contractions,problems during pregnancy,lower abdominal pain,,,
trichinosis,nasal congestion,knee lump or mass,,,,,,,,,,
whooping cough,sore throat,nasal congestion,vomiting,shortness of breath,cough,,,,,,,
open wound of the lip,lip swelling,dry lips,mouth ulcer,facial pain,irregular belly button,,,,,,,
subacute thyroiditis,palpitations,blood in stool,problems during pregnancy,pain during pregnancy,uterine contractions,,,,,,,
oral mucosal lesion,sore throat,cough,lip swelling,toothache,facial pain,fever,irregular belly button,mouth ulcer,gum pain,tongue lesions,,
open wound due to trauma,wrist swelling,nailbiting,,,,,,,,,,
intracerebral hemorrhage,depressive or psychotic symptoms,dizziness,vomiting,headache,diminished vision,blindness,seizures,nausea,weakness,focal weakness,,
alzheimer disease,depressive or psychotic symptoms,irregular appearing scalp,eye burns or stings,disturbance of memory,delusions or hallucinations,hostile behavior,depression,difficulty speaking,,,,
vaginismus,sharp abdominal pain,pain during intercourse,lower abdominal pain,pelvic pain,vaginal pain,suprapubic pain,,,,,,
systemic lupus erythematosis (sle),bones are painful,leg swelling,ache all over,hand or finger stiffness or tightness,knee pain,sharp chest pain,,,,,,
premature ovarian failure,lack of growth,weight gain,absence of menstruation,unpredictable menstruation,pelvic pain,,,,,,,
thoracic outlet syndrome,sharp chest pain,hand or finger pain,arm pain,decreased appetite,shoulder pain,loss of sensation,,,,,,
ganglion cyst,leg pain,skin growth,knee pain,foot or toe pain,knee swelling,knee lump or mass,hand or finger lump or mass,redness in or around nose,wrist swelling,hand or finger pain,,
dislocation of the knee,knee pain,knee stiffness or tightness,knee swelling,,,,,,,,,
crohn disease,blood in stool,nausea,pain of the anus,regurgitation,regurgitation.1,sharp abdominal pain,vomiting,diarrhea,burning abdominal pain,rectal bleeding,,
postoperative infection,abnormal appearing skin,jaw swelling,sharp abdominal pain,fever,skin on leg or foot looks infected,skin swelling,,,,,,
folate deficiency,sharp chest pain,vomiting blood,difficulty breathing,shortness of breath,sharp abdominal pain,,,,,,,
fluid overload,vomiting,nausea,hand or finger swelling,peripheral edema,fluid retention,shortness of breath,sharp chest pain,sharp abdominal pain,,,,
atrial flutter,sharp chest pain,palpitations,irregular heartbeat,frequent urination,swollen lymph nodes,shortness of breath,chest tightness,increased heart rate,,,,
skin disorder,abnormal appearing skin,skin moles,symptoms of bladder,"skin dryness,skin swelling,acne or pimples,irregular appearing scalp,skin lesion,skin growth,hurts to breath,,
floaters,diminished vision,lacrimation,symptoms of eye,foreign body sensation in eye,spots or clouds in vision,,,,,,,
tooth disorder,toothache,mouth ulcer,peripheral edema,jaw swelling,headache,ear pain,polyuria,cloudy eye,facial pain,gum pain,,
heart attack,shortness of breath,chest tightness,irregular heartbeat,nausea,arm pain,increased heart rate,burning chest pain,infertility,fainting,sharp chest pain,heartburn,
open wound of the abdomen,sharp abdominal pain,hand or finger weakness,blindness,,,,,,,,,
fracture of the leg,leg pain,hip pain,problems with movement,leg swelling,leg stiffness or tightness,knee weakness,knee swelling,too little hair,knee pain,ankle pain,,
oral thrush (yeast infection),sore throat,cough,nasal congestion,fever,tongue lesions,constipation,irritable infant,foot or toe cramps or spasms,irregular belly button,mouth ulcer,,
pityriasis rosea,skin swelling,vaginal itching,abnormal appearing skin,symptoms of bladder,skin irritation,foot or toe cramps or spasms,,,,,,
allergy to animals,sore throat,cough,nasal congestion,cross-eyed,allergic reaction,,,,,,,
orthostatic hypotension,sharp chest pain,abnormal involuntary movements,irregular heartbeat,fainting,feeling ill,headache,weakness,dizziness,,,,
obstructive sleep apnea (osa),shortness of breath,abnormal involuntary movements,difficulty in swallowing,mouth dryness,fatigue,insomnia,difficulty breathing,sleepiness,apnea,abnormal breathing sounds,weight gain,infertility
hypokalemia,shortness of breath,sharp chest pain,sharp abdominal pain,diarrhea,loss of sensation,fever,vomiting,headache,nausea,fainting,,
psoriasis,abnormal appearing skin,skin lesion,skin growth,skin moles,joint pain,hurts to breath,foot or toe cramps or spasms,skin swelling,peeling,irregular appearing scalp,symptoms of bladder,
dislocation of the shoulder,wrist pain,arm pain,arm stiffness or tightness,neck mass,shoulder pain,arm swelling,,,,,,
intussusception,blood in stool,emotional symptoms,sharp abdominal pain,,,,,,,,,
cervicitis,sharp abdominal pain,nausea,vaginal itching,painful urination,vaginal discharge,pelvic pain,pain during pregnancy,suprapubic pain,,,,
abscess of the pharynx,sharp chest pain,difficulty in swallowing,fever,sore throat,cough,throat swelling,headache,nasal congestion,,,,
primary thrombocythemia,dizziness,flatulence,fatigue,,,,,,,,,
arthritis of the hip,hip pain,groin pain,swollen or red tonsils,back pain,low back pain,ache all over,lower body pain,joint pain,leg pain,pelvic pain,problems with movement,knee pain
decubitus ulcer,difficulty speaking,skin lesion,or roughness",skin on leg or foot looks infected,,,,,,,,
hypernatremia,shortness of breath,fainting,weakness,fever,difficulty breathing,,,,,,,
sensorineural hearing loss,hoarse voice,diminished hearing,throat feels tight,ear pain,fluid in ear,plugged feeling in ear,itchy ear(s),dizziness,nasal congestion,ringing in ear,,
chronic ulcer,skin lesion,wrinkles on skin,,,,,,,,,,
osteoporosis,hip pain,bones are painful,disturbance of memory,leg cramps or spasms,joint pain,feet turned in,back pain,stomach bloating,"muscle cramps,,,
ileus,headache,diarrhea,lower abdominal pain,pain of the anus,sharp abdominal pain,nausea,burning abdominal pain,constipation,vomiting,,,
sickle cell crisis,sharp chest pain,leg pain,hip pain,sharp abdominal pain,vomiting,back pain,ache all over,low back pain,knee pain,arm pain,burning abdominal pain,
urethritis,retention of urine,suprapubic pain,sharp abdominal pain,vaginal itching,frequent urination,blood in urine,painful urination,mouth pain,posture problems,,,
prostatitis,retention of urine,sharp abdominal pain,frequent urination,blood in urine,back pain,impotence,fever,lower abdominal pain,chills,painful urination,,
otitis externa (swimmer's ear),cough,diminished hearing,ringing in ear,itchy ear(s),sore throat,facial pain,plugged feeling in ear,fever,ear pain,fluid in ear,redness in ear,
poisoning due to anticonvulsants,dizziness,difficulty speaking,problems with movement,depression,,,,,,,,
testicular torsion,emotional symptoms,symptoms of the scrotum and testes,back pain,swelling of scrotum,pain in testicles,sharp abdominal pain,,,,,,
tricuspid valve disease,anxiety and nervousness,emotional symptoms,,,,,,,,,,
urethral stricture,suprapubic pain,painful urination,involuntary urination,blood in urine,eyelid lesion or rash,symptoms of the scrotum and testes,retention of urine,symptoms of prostate,,,,
vitamin d deficiency,hot flashes,arm stiffness or tightness,fatigue,,,,,,,,,
hydatidiform mole,dizziness,sharp abdominal pain,diminished vision,pain during pregnancy,spotting or bleeding during pregnancy,,,,,,,
pain disorder affecting the neck,headache,arm pain,back pain,low back pain,insomnia,neck pain,neck stiffness or tightness,disturbance of memory,dizziness,,,
tuberculosis,cough,vaginal itching,shortness of breath,congestion in chest,,,,,,,,
pelvic fistula,dizziness,elbow weakness,vaginal discharge,,,,,,,,,
acute bronchiolitis,cough,nasal congestion,irritable infant,vomiting,wheezing,decreased appetite,fever,difficulty breathing,pulling at ears,irregular appearing nails,coryza,shortness of breath
presbyopia,difficulty speaking,symptoms of eye,pain in eye,abnormal movement of eyelid,foreign body sensation in eye,spots or clouds in vision,diminished vision,,,,,
dementia,depressive or psychotic symptoms,insomnia,abnormal involuntary movements,hostile behavior,problems with movement,disturbance of memory,focal weakness,delusions or hallucinations,,,,
insect bite,skin swelling,hand or finger swelling,lip swelling,leg swelling,fluid retention,symptoms of bladder,skin lesion,abnormal appearing skin,peripheral edema,foot or toe cramps or spasms,,
paroxysmal ventricular tachycardia,shortness of breath,dizziness,chest tightness,irregular heartbeat,weight gain,increased heart rate,fatigue,sharp chest pain,fainting,decreased heart rate,,
congenital heart defect,sharp chest pain,lack of growth,arm swelling,hand or finger stiffness or tightness,,,,,,,,
connective tissue disorder,difficulty in swallowing,feeling ill,joint pain,,,,,,,,,
foreign body in the eye,symptoms of eye,eye burns or stings,white discharge from eye,eye redness,lacrimation,itchiness of eye,foreign body sensation in eye,pain in eye,,,,
poisoning due to gas,shortness of breath,sharp chest pain,dizziness,wheezing,headache,skin rash,cough,,,,,
pyogenic skin infection,skin swelling,hand or finger swelling,abnormal appearing skin,skin lesion,foot or toe pain,leg swelling,leg pain,foot or toe swelling,hand or finger pain,foot or toe cramps or spasms,peripheral edema,
endometrial hyperplasia,back weakness,involuntary urination,nosebleed,bleeding gums,long menstrual periods,,,,,,,
acanthosis nigricans,skin lesion,acne or pimples,weight gain,skin growth,,,,,,,,
central atherosclerosis,shortness of breath,blood in urine,fatigue,irregular heartbeat,,,,,,,,
viral exanthem,cough,nasal congestion,skin swelling,vomiting,abnormal appearing skin,symptoms of bladder,foot or toe cramps or spasms,decreased appetite,fever,pulling at ears,,
noninfectious gastroenteritis,sharp abdominal pain,headache,decreased appetite,chills,rectal bleeding,blood in stool,burning abdominal pain,fever,fluid retention,nausea,vomiting,diarrhea
benign prostatic hyperplasia (bph),retention of urine,swelling of scrotum,impotence,excessive urination at night,mass on vulva,hand or finger cramps or spasms,pain in testicles,involuntary urination,blood in urine,eyelid lesion or rash,symptoms of prostate,frequent urination
menopause,vaginal itching,involuntary urination,hot flashes,infertility,absence of menstruation,long menstrual periods,,,,,,
primary immunodeficiency,cough,arm stiffness or tightness,frontal headache,decreased appetite,fatigue,,,,,,,
ovarian cancer,groin mass,stomach bloating,sharp abdominal pain,decreased appetite,,,,,,,,
cataract,diminished vision,double vision,symptoms of eye,pain in eye,abnormal movement of eyelid,lacrimation,blindness,change in skin mole size or color,itchiness of eye,spots or clouds in vision,,
dislocation of the hip,hip pain,abusing alcohol,leg pain,,,,,,,,,
